年月,熊本_日最高気温の平均(℃),品質情報,熊本_日最低気温の平均(℃),品質情報,熊本_猛暑日数(日),品質情報,熊本_熱帯夜日数(日),品質情報,熊本_降水量の合計(mm),現象なし情報,品質情報,熊本_日照時間(時間),現象なし情報,品質情報,札幌_日最高気温の平均(℃),品質情報,札幌_日最低気温の平均(℃),品質情報,札幌_猛暑日数(日),品質情報,札幌_熱帯夜日数(日),品質情報,札幌_降水量の合計(mm),現象なし情報,品質情報,札幌_日照時間(時間),現象なし情報,品質情報,伊良湖_日最高気温の平均(℃),品質情報,伊良湖_日最低気温の平均(℃),品質情報,伊良湖_猛暑日数(日),品質情報,伊良湖_熱帯夜日数(日),品質情報,伊良湖_降水量の合計(mm),現象なし情報,品質情報,伊良湖_日照時間(時間),現象なし情報,品質情報,水戸_日最高気温の平均(℃),品質情報,水戸_日最低気温の平均(℃),品質情報,水戸_猛暑日数(日),品質情報,水戸_熱帯夜日数(日),品質情報,水戸_降水量の合計(mm),現象なし情報,品質情報,水戸_日照時間(時間),現象なし情報,品質情報,千葉_日最高気温の平均(℃),品質情報,千葉_日最低気温の平均(℃),品質情報,千葉_猛暑日数(日),品質情報,千葉_熱帯夜日数(日),品質情報,千葉_降水量の合計(mm),現象なし情報,品質情報,千葉_日照時間(時間),現象なし情報,品質情報
2000/11,19.2,8,9.8,8,0,8,0,8,192.0,0,8,141.3,0,8,7.1,8,0.7,8,0,8,0,8,140.0,0,8,103.7,0,8,18.0,8,11.2,8,0,8,0,8,263.0,0,8,128.2,0,8,15.7,8,6.6,8,0,8,0,8,73.5,0,8,124.5,0,8,16.6,8,9.6,8,0,8,0,8,88.5,0,8,107.3,0,8
2000/12,14.1,8,3.6,8,0,8,0,8,57.5,0,8,179.8,0,8,0.9,8,-6.0,8,0,8,0,8,101.5,0,8,94.3,0,8,11.9,8,4.7,8,0,8,0,8,24.5,0,8,172.8,0,8,11.4,8,-0.4,8,0,8,0,8,5.5,0,8,191.9,0,8,12.2,8,4.1,8,0,8,0,8,13.5,0,8,174.2,0,8
2001/1,10.1,8,1.3,8,0,8,0,8,86.0,0,8,131.4,0,8,-2.0,8,-9.7,8,0,8,0,8,71.0,0,8,112.0,0,8,8.4,8,2.2,8,0,8,0,8,206.5,0,8,163.9,0,8,7.5,8,-2.7,8,0,8,0,8,95.5,0,8,174.9,0,8,8.3,8,0.7,8,0,8,0,8,168.0,0,8,178.0,0,8
2001/2,12.7,8,3.0,8,0,8,0,8,103.5,0,8,121.7,0,8,-2.5,8,-8.6,8,0,8,0,8,64.0,0,8,96.0,0,8,9.9,8,2.8,8,0,8,0,8,49.5,0,8,167.2,0,8,9.3,8,-1.9,8,0,8,0,8,19.5,0,8,154.4,0,8,10.2,8,1.8,8,0,8,0,8,30.0,0,8,141.1,0,8
2001/3,16.2,8,5.5,8,0,8,0,8,80.0,0,8,164.9,0,8,3.4,8,-3.1,8,0,8,0,8,83.0,0,8,143.9,0,8,12.7,5,5.1,8,0,5,0,8,85.5,0,8,188.7,0,5,12.7,8,1.3,8,0,8,0,8,127.0,0,8,179.9,0,8,14.1,8,5.1,8,0,8,0,8,118.0,0,8,175.2,0,8
2001/4,21.8,8,10.4,8,0,8,0,8,71.0,0,8,196.9,0,8,13.5,8,3.9,8,0,8,0,8,28.0,0,8,198.2,0,5,19.5,8,9.5,8,0,8,0,8,45.5,0,8,225.7,0,8,19.1,8,6.7,8,0,8,0,8,29.0,0,8,222.3,0,8,19.6,8,10.5,8,0,8,0,8,46.0,0,8,214.8,0,8
2001/5,26.4,8,16.1,8,0,8,0,8,42.0,0,8,155.9,0,8,19.0,8,9.1,8,0,8,0,8,17.0,0,8,213.4,0,8,23.2,8,15.9,8,0,8,0,8,162.0,0,8,179.9,0,8,22.2,8,13.2,8,0,8,0,8,129.0,0,8,175.0,0,8,22.3,8,15.6,8,0,8,0,8,162.0,0,8,159.1,0,8
2001/6,28.8,8,20.9,8,0,8,4,8,526.0,0,8,124.4,0,8,22.0,8,12.6,8,0,8,0,8,42.0,0,8,194.4,0,8,26.4,8,19.9,8,0,8,1,8,100.5,0,8,145.2,0,8,25.3,8,17.4,8,0,8,0,8,144.5,0,8,134.0,0,8,25.9,8,19.5,8,0,8,0,8,128.0,0,8,111.9,0,8
2001/7,33.4,8,24.2,8,14,8,10,8,358.0,0,8,240.8,0,8,25.2,8,17.7,8,0,8,0,8,111.0,0,8,122.9,0,8,32.1,8,24.2,8,5,8,9,8,2.5,0,8,267.1,0,8,31.6,8,21.9,8,9,8,2,8,38.0,0,8,257.0,0,5,32.0,8,24.3,8,3,8,11,8,8.0,0,8,270.0,0,8
2001/8,33.9,8,24.6,8,13,8,16,8,42.0,0,8,225.8,0,8,25.4,8,17.5,8,0,8,0,8,135.0,0,8,208.2,0,8,30.8,8,24.1,8,2,8,10,8,224.0,0,8,192.0,0,8,27.9,8,21.0,8,0,8,0,8,102.0,0,8,125.4,0,8,29.4,8,22.9,8,0,8,3,8,111.0,0,8,112.7,0,8
2001/9,30.3,8,20.8,8,0,8,1,8,187.0,0,8,194.1,0,8,21.4,8,13.4,8,0,8,0,8,237.5,0,8,144.3,0,8,27.5,8,20.6,8,0,8,0,8,340.5,0,8,175.6,0,8,24.9,8,17.3,8,0,8,0,8,132.0,0,8,116.2,0,5,26.1,8,19.5,8,0,8,2,8,195.5,0,8,118.0,0,8
2001/10,25.2,8,15.4,8,0,8,0,8,133.0,0,8,183.6,0,8,16.0,8,8.4,8,0,8,0,8,86.5,0,8,128.5,0,8,22.9,8,15.8,8,0,8,0,8,249.5,0,8,171.2,0,8,21.2,8,11.6,8,0,8,0,8,307.0,0,8,175.6,0,8,22.5,8,14.8,8,0,8,0,8,352.5,0,8,161.3,0,8
2001/11,17.9,8,6.4,8,0,8,0,8,130.0,0,8,176.3,0,8,8.8,8,1.2,8,0,8,0,8,83.0,0,8,98.6,0,8,16.7,8,8.9,8,0,8,0,8,151.0,0,8,187.8,0,8,16.1,8,4.4,8,0,8,0,8,84.5,0,8,175.2,0,5,16.9,8,8.4,8,0,8,0,8,119.5,0,8,174.9,0,8
2001/12,12.4,8,3.2,8,0,8,0,8,40.0,0,8,137.1,0,8,-0.8,8,-6.2,8,0,8,0,8,167.0,0,8,68.8,0,8,11.3,8,4.9,8,0,8,0,8,42.0,0,8,202.8,0,8,10.6,8,-0.7,8,0,8,0,8,35.5,0,8,189.1,0,8,11.8,8,4.2,8,0,8,0,8,43.5,0,8,189.3,0,8
2002/1,11.8,8,3.4,8,0,8,0,8,52.5,0,8,106.7,0,8,0.4,8,-5.7,8,0,8,0,8,150.0,0,8,75.6,0,8,9.9,8,3.5,8,0,8,0,8,108.0,0,8,150.0,0,8,10.7,8,-1.0,8,0,8,0,8,128.0,0,8,191.4,0,8,11.3,8,3.1,8,0,8,0,8,116.5,0,8,195.8,0,5
2002/2,13.0,8,2.9,8,0,8,0,8,83.0,0,8,174.5,0,8,2.8,8,-4.3,8,0,8,0,8,60.5,0,8,126.0,0,8,10.3,8,3.0,8,0,8,0,8,44.0,0,8,157.1,0,8,10.9,8,0.3,8,0,8,0,8,27.5,0,8,165.7,0,8,11.6,8,3.6,8,0,8,0,8,41.5,0,8,164.2,0,8
2002/3,17.9,8,7.1,8,0,8,0,8,112.0,0,8,195.5,0,8,6.3,8,-1.2,8,0,8,0,8,45.0,0,8,139.3,0,8,15.5,8,6.0,8,0,8,0,8,111.0,0,8,229.0,0,8,15.3,8,3.3,8,0,8,0,8,72.5,0,8,196.7,0,8,16.5,8,7.7,8,0,8,0,8,89.0,0,8,196.4,0,8
2002/4,22.4,8,12.1,8,0,8,0,8,162.5,0,8,144.3,0,8,14.2,8,5.5,8,0,8,0,8,30.5,0,8,190.6,0,8,19.7,8,11.7,8,0,8,0,8,68.5,0,8,165.2,0,8,18.8,8,8.2,8,0,8,0,8,46.5,0,8,162.8,0,8,19.8,8,11.5,8,0,8,0,8,54.0,0,8,156.6,0,8
2002/5,26.0,8,16.6,8,0,8,0,8,313.5,0,8,155.4,0,8,18.8,8,9.4,8,0,8,0,8,41.0,0,8,223.6,0,8,23.0,8,15.5,8,0,8,0,8,70.5,0,8,159.0,0,8,20.5,8,12.1,8,0,8,0,8,146.5,0,8,161.0,0,8,21.8,8,14.6,8,0,8,0,8,86.0,0,8,167.6,0,8
2002/6,29.5,8,19.8,8,1,8,0,8,241.0,0,8,201.2,0,8,20.6,8,12.3,8,0,8,0,8,64.5,0,8,191.5,0,8,25.7,8,18.7,8,0,8,0,8,120.5,0,8,174.0,0,8,23.2,8,15.7,8,0,8,0,8,118.0,0,8,141.0,0,8,24.8,8,18.0,8,0,8,0,8,155.5,0,8,129.9,0,8
2002/7,33.0,8,24.8,8,6,8,14,8,181.5,0,8,194.4,0,8,24.6,8,17.7,8,0,8,0,8,128.0,0,8,130.3,0,8,30.5,8,24.1,8,1,8,10,8,58.5,0,8,202.7,0,8,30.3,8,21.7,8,2,8,2,8,124.0,0,8,167.3,0,8,30.5,8,24.2,8,0,8,13,8,106.0,0,8,183.6,0,8
2002/8,33.2,8,24.3,8,4,8,15,8,63.0,0,8,243.0,0,8,23.7,8,17.4,8,0,8,0,8,102.5,0,8,105.2,0,8,31.9,8,24.8,8,2,8,20,8,91.0,0,8,263.4,0,8,30.9,8,22.2,8,4,8,1,8,62.0,0,8,223.3,0,8,31.3,8,24.2,8,1,8,11,8,85.5,0,8,237.0,0,8
2002/9,31.0,8,20.8,8,3,8,1,8,55.5,0,8,223.0,0,8,22.2,8,13.5,8,0,8,0,8,87.5,0,8,176.2,0,8,27.4,8,21.0,8,0,8,2,8,159.0,0,8,165.7,0,8,25.1,8,17.6,8,0,8,0,8,214.5,0,8,140.2,0,8,26.0,8,19.6,8,0,8,4,8,316.5,0,8,121.4,0,8
2002/10,23.8,8,13.5,8,0,8,0,8,72.5,0,8,167.2,0,8,16.2,8,8.3,8,0,8,0,8,149.0,0,8,126.5,0,8,22.4,8,15.0,8,0,8,0,8,271.5,0,8,189.0,0,8,21.4,8,11.9,8,0,8,0,8,134.0,0,8,177.8,0,8,22.5,8,15.3,8,0,8,0,8,202.5,0,8,183.9,0,8
2002/11,15.6,8,5.6,8,0,8,0,8,109.0,0,8,149.4,0,8,6.1,8,-0.5,8,0,8,0,8,165.0,0,8,82.3,0,8,14.4,8,7.1,8,0,8,0,8,26.5,0,8,153.1,0,8,13.9,8,3.1,8,0,8,0,8,29.5,0,8,136.9,0,8,14.9,8,7.7,8,0,8,0,8,22.0,0,8,129.0,0,8
2002/12,13.1,8,4.7,8,0,8,0,8,97.5,0,8,107.7,0,8,-0.2,8,-5.8,8,0,8,0,8,77.5,0,8,107.4,0,5,11.0,8,4.9,8,0,8,0,8,76.5,0,8,144.1,0,8,8.9,8,-0.2,8,0,8,0,8,77.0,0,8,138.8,0,8,10.5,8,3.4,8,0,8,0,8,95.0,0,8,132.0,0,8
2003/1,9.5,8,0.7,8,0,8,0,8,52.0,0,8,125.9,0,8,-0.5,8,-7.2,8,0,8,0,8,104.0,0,8,102.4,0,8,8.7,8,1.7,8,0,8,0,8,161.0,0,8,185.0,0,8,8.4,8,-2.2,8,0,8,0,8,76.5,0,8,196.7,0,8,9.0,8,1.4,8,0,8,0,8,115.5,0,8,202.4,0,5
2003/2,13.1,8,3.4,8,0,8,0,8,58.0,0,8,130.4,0,8,-0.3,8,-7.0,8,0,8,0,8,59.5,0,8,108.2,0,8,10.3,5,3.0,5,0,5,0,5,75.0,0,8,182.3,0,5,8.6,8,-1.2,8,0,8,0,8,46.5,0,8,157.4,0,8,9.6,8,2.2,8,0,8,0,8,61.5,0,8,138.3,0,8
2003/3,15.8,8,5.3,8,0,8,0,8,122.0,0,8,176.4,0,8,4.2,8,-2.8,8,0,8,0,8,65.0,0,8,156.7,0,8,12.4,8,4.6,8,0,8,0,8,113.5,0,8,219.9,0,8,11.6,8,0.6,8,0,8,0,8,137.5,0,8,199.9,0,8,12.8,8,4.5,8,0,8,0,8,161.0,0,8,199.9,0,8
2003/4,22.0,8,12.3,8,0,8,0,8,246.5,0,8,148.9,0,8,12.9,8,3.9,8,0,8,0,8,61.0,0,8,161.4,0,5,18.6,8,11.1,8,0,8,0,8,133.5,0,8,132.5,0,8,17.8,8,7.6,8,0,8,0,8,136.0,0,8,164.8,0,8,18.8,8,10.8,8,0,8,0,8,122.5,0,8,154.2,0,8
2003/5,26.7,8,17.0,8,0,8,0,8,176.0,0,8,177.3,0,8,18.3,8,8.3,8,0,8,0,8,31.0,0,8,228.7,0,5,22.6,8,15.3,8,0,8,0,8,218.5,0,8,159.3,0,8,20.9,8,12.0,8,0,8,0,8,129.5,0,8,161.9,0,8,22.2,8,14.9,8,0,8,0,8,89.0,0,8,131.8,0,8
2003/6,27.6,8,19.8,8,0,8,0,8,364.0,0,8,129.2,0,8,22.2,8,12.9,8,0,8,0,8,68.5,0,8,219.0,0,8,26.1,8,19.4,8,0,8,0,8,149.5,0,8,133.7,0,8,24.7,8,17.0,8,0,8,0,8,137.5,0,8,114.6,0,8,26.4,8,19.6,8,0,8,0,8,38.0,0,8,101.7,0,8
2003/7,30.2,8,23.5,8,0,8,5,8,589.0,0,8,108.1,0,8,22.0,8,14.6,8,0,8,0,8,29.0,0,8,185.9,0,8,27.1,8,21.5,8,0,8,0,8,182.0,0,8,107.0,0,8,23.8,8,17.8,8,0,8,0,8,134.0,0,8,60.5,0,8,25.7,8,19.5,8,0,8,1,8,143.5,0,8,57.4,0,8
2003/8,32.7,8,24.7,8,6,8,17,8,362.5,0,8,162.5,0,5,24.7,8,17.5,8,0,8,0,8,90.5,0,8,151.0,0,8,30.1,8,23.8,8,0,8,7,8,306.0,0,8,177.1,0,8,28.2,8,20.8,8,0,8,0,8,216.0,0,8,128.9,0,8,29.1,8,22.6,8,0,8,10,8,318.5,0,8,144.1,0,8
2003/9,31.9,8,21.7,8,8,8,9,8,30.5,0,8,248.9,0,8,21.6,8,13.9,8,0,8,0,8,110.5,0,8,147.3,0,8,28.8,8,22.0,8,1,8,4,8,180.5,0,8,221.2,0,8,26.2,8,17.9,8,0,8,0,8,102.5,0,8,160.8,0,8,27.8,8,20.5,8,0,8,4,8,138.0,0,8,169.9,0,8
2003/10,24.5,8,12.7,8,0,8,0,8,23.0,0,8,231.7,0,8,15.8,8,7.5,8,0,8,0,8,149.5,0,8,136.5,0,8,21.4,8,14.1,8,0,8,0,8,102.5,0,8,155.1,0,8,19.9,8,10.6,8,0,8,0,8,117.5,0,8,132.2,0,8,21.2,8,14.0,8,0,8,0,8,125.5,0,8,138.1,0,8
2003/11,20.9,8,12.0,8,0,8,0,8,193.5,0,8,119.2,0,8,10.0,8,2.0,8,0,8,0,8,64.0,0,8,105.6,0,8,18.6,8,12.2,8,0,8,0,8,207.5,0,8,115.3,0,8,16.5,8,7.9,8,0,8,0,8,164.5,0,8,103.6,0,8,17.3,8,11.1,8,0,8,0,8,228.0,0,8,87.4,0,8
2003/12,13.3,8,3.2,8,0,8,0,8,39.0,0,8,159.3,0,8,2.8,8,-3.2,8,0,8,0,8,83.5,0,8,84.4,0,8,11.9,8,5.8,8,0,8,0,8,35.0,0,8,189.9,0,8,11.5,8,0.6,8,0,8,0,8,41.0,0,8,174.4,0,8,13.1,8,5.2,8,0,8,0,8,53.5,0,8,186.1,0,8
2004/1,10.4,8,0.4,8,0,8,0,8,35.0,0,8,161.4,0,8,0.4,8,-5.8,8,0,8,0,8,139.0,0,8,86.8,0,8,9.1,8,2.3,8,0,8,0,8,20.0,0,8,213.2,0,8,9.0,8,-2.3,8,0,8,0,8,9.5,0,8,201.7,0,8,10.0,8,2.4,8,0,8,0,8,9.0,0,8,204.6,0,8
2004/2,14.4,8,2.7,8,0,8,0,8,84.0,0,8,166.0,0,8,1.7,8,-4.7,8,0,8,0,8,158.5,0,8,106.5,0,8,11.5,8,3.2,8,0,8,0,8,40.0,0,8,201.9,0,8,11.9,8,-1.0,8,0,8,0,8,20.5,0,8,213.8,0,8,12.6,8,3.9,8,0,8,0,8,18.0,0,8,215.9,0,8
2004/3,16.5,8,5.6,8,0,8,0,8,113.0,0,8,176.5,0,8,4.2,8,-3.0,8,0,8,0,8,42.5,0,8,139.5,0,8,13.9,8,5.3,8,0,8,0,8,103.5,0,8,197.3,0,8,13.4,8,1.2,8,0,8,0,8,112.5,0,8,198.4,0,8,13.8,8,5.1,8,0,8,0,8,121.5,0,8,168.5,0,8
2004/4,23.4,8,10.4,8,0,8,0,8,139.0,0,8,222.9,0,8,10.8,8,2.5,8,0,8,0,8,28.5,0,8,168.8,0,8,20.5,8,10.4,8,0,8,0,8,52.5,0,8,249.2,0,8,19.5,8,7.0,8,0,8,0,8,104.0,0,8,227.2,0,8,20.6,8,11.3,8,0,8,0,8,76.0,0,8,229.7,0,8
2004/5,25.9,8,16.5,8,0,8,0,8,372.0,0,8,143.7,0,5,18.7,8,9.7,8,0,8,0,8,76.0,0,8,174.5,0,8,23.4,8,16.3,8,0,8,0,8,199.5,0,8,173.0,0,8,21.4,8,13.0,8,0,8,0,8,181.0,0,8,132.9,0,8,23.1,8,15.4,8,0,8,0,8,132.0,0,8,135.4,0,8
2004/6,30.6,8,21.1,8,1,8,2,8,121.0,0,8,201.9,0,8,23.7,8,14.1,8,0,8,0,8,58.0,0,8,188.1,0,8,27.1,8,20.2,8,0,8,0,8,156.0,0,8,169.0,0,8,26.0,8,16.2,8,0,8,0,8,89.5,0,8,175.0,0,8,27.1,8,19.2,8,0,8,0,8,190.5,0,8,185.9,0,5
2004/7,33.9,8,24.9,8,9,8,16,8,95.5,0,8,249.5,0,8,25.5,8,17.9,8,0,8,0,8,70.5,0,8,162.8,0,8,32.4,8,24.9,8,3,8,13,8,47.0,0,8,250.9,0,8,30.4,8,21.5,8,1,8,2,8,78.0,0,8,230.3,0,8,32.3,8,24.0,8,2,8,14,8,20.0,0,8,249.3,0,8
2004/8,33.9,8,25.0,8,11,8,15,8,169.5,0,8,182.7,0,8,26.2,8,18.5,8,0,8,0,8,128.0,0,8,169.6,0,8,30.8,8,24.5,8,0,8,13,8,94.0,0,8,184.6,0,5,29.8,8,21.1,8,2,8,1,8,70.5,0,8,174.9,0,8,30.6,8,23.6,8,1,8,14,8,75.5,0,8,196.9,0,8
2004/9,30.5,8,21.7,8,0,8,1,8,328.0,0,8,130.4,0,8,22.8,8,14.3,8,0,8,0,8,126.5,0,8,150.1,0,8,29.0,5,22.9,5,0,5,2,5,250.5,0,8,131.4,0,5,26.9,8,19.3,8,0,8,0,8,114.0,0,8,146.0,0,8,28.3,8,21.6,8,0,8,5,8,266.0,0,8,151.5,0,8
2004/10,24.4,8,14.9,8,0,8,0,8,172.0,0,8,198.9,0,8,17.0,8,8.2,8,0,8,0,8,46.0,0,8,140.3,0,8,22.4,8,16.3,8,0,8,0,8,669.0,0,8,138.7,0,5,19.3,8,11.7,8,0,8,0,8,489.5,0,8,112.2,0,8,20.9,8,14.4,8,0,8,0,8,532.0,0,8,115.9,0,8
2004/11,20.2,8,9.3,8,0,8,0,8,61.5,0,8,197.3,0,8,11.1,8,3.5,8,0,8,0,8,85.0,0,8,110.7,0,8,18.9,8,12.2,8,0,8,0,8,93.5,0,8,177.0,0,8,17.9,8,8.2,8,0,8,0,8,72.0,0,8,159.1,0,8,19.0,8,11.8,8,0,8,0,8,154.5,0,8,159.5,0,8
2004/12,15.7,8,5.0,8,0,8,0,8,114.0,0,8,162.5,0,8,2.3,8,-4.2,8,0,8,0,8,172.0,0,8,70.7,0,8,13.6,8,6.5,8,0,8,0,8,168.0,0,8,175.0,0,5,12.3,8,1.7,8,0,8,0,8,65.5,0,8,171.3,0,8,13.6,8,6.1,8,0,8,0,8,75.5,0,8,170.8,0,8
2005/1,9.9,8,1.1,8,0,8,0,8,48.0,0,8,100.2,0,8,-0.6,8,-7.1,8,0,8,0,8,153.5,0,8,71.5,0,8,9.1,8,3.3,8,0,8,0,8,19.0,0,8,186.2,0,8,9.2,8,-2.0,8,0,8,0,8,116.0,0,8,189.8,0,8,10.5,8,2.5,8,0,8,0,8,103.5,0,8,205.0,0,8
2005/2,10.5,8,1.9,8,0,8,0,8,99.5,0,8,100.0,0,8,-1.2,8,-7.3,8,0,8,0,8,120.5,0,8,95.3,0,8,9.2,8,2.9,8,0,8,0,8,58.0,0,8,163.2,0,8,9.2,8,-1.7,8,0,8,0,8,46.0,0,8,178.5,0,8,9.9,8,2.1,8,0,8,0,8,53.5,0,8,146.3,0,8
2005/3,14.5,8,4.2,8,0,8,0,8,128.0,0,8,158.0,0,8,3.0,8,-3.4,8,0,8,0,8,124.0,0,8,134.6,0,8,12.8,8,4.3,8,0,8,0,8,96.0,0,8,188.5,0,8,11.5,8,0.4,8,0,8,0,8,99.0,0,8,179.4,0,8,13.1,8,4.6,8,0,8,0,8,81.0,0,8,171.4,0,8
2005/4,23.0,8,10.6,8,0,8,0,8,92.0,0,8,216.8,0,8,9.6,8,2.9,8,0,8,0,8,55.0,0,8,123.2,0,8,19.8,8,10.2,8,0,8,0,8,57.5,0,8,237.6,0,8,18.2,8,6.4,8,0,8,0,8,61.5,0,8,208.9,0,8,19.1,8,10.0,8,0,8,0,8,95.0,0,8,213.3,0,8
2005/5,26.8,8,15.6,8,0,8,0,8,135.0,0,8,229.0,0,8,15.0,8,7.0,8,0,8,0,8,62.0,0,8,176.9,0,8,22.6,8,14.4,8,0,8,0,8,76.5,0,8,246.1,0,8,20.1,8,10.5,8,0,8,0,8,65.0,0,8,192.3,0,8,21.6,8,13.0,8,0,8,0,8,97.0,0,8,167.2,0,8
2005/6,30.9,8,21.4,8,0,8,4,8,92.5,0,8,203.1,0,8,23.6,8,14.2,8,0,8,0,8,51.0,0,8,194.9,0,8,27.0,8,19.7,8,0,8,1,8,111.0,0,8,164.8,0,5,25.2,8,17.5,8,0,8,0,8,50.0,0,8,113.6,0,8,26.1,8,19.5,8,0,8,0,8,168.5,0,8,107.1,0,8
2005/7,31.7,8,24.7,8,5,8,14,8,365.0,0,8,152.3,0,5,24.2,8,17.0,8,0,8,0,8,119.0,0,8,156.9,0,8,29.5,8,23.0,8,0,8,2,8,216.0,0,8,157.3,0,8,27.2,8,19.7,8,1,8,0,8,210.0,0,8,119.4,0,8,28.4,8,22.1,8,1,8,5,8,180.0,0,8,116.7,0,8
2005/8,33.4,8,24.6,8,12,8,10,8,73.0,0,8,195.5,0,5,27.7,8,20.4,8,0,8,0,8,114.0,0,8,201.2,0,8,31.3,8,24.7,8,0,8,16,8,104.5,0,8,210.6,0,8,30.1,8,22.7,8,0,8,1,8,219.5,0,8,174.9,0,8,31.1,8,24.6,8,1,8,14,8,253.0,0,8,187.1,0,8
